"Supplied Name","guid","scientificName","family","kingdom","Authority","Country","Kingdom","Environment","Origin","Evidence of impact","Verification","Year","Source"
"Acentrogobius pflaumii","urn:lsid:biodiversity.org.au:afd.taxon:c2e7622b-7ee3-496e-b620-3ffe90c2e7df","Acentrogobius pflaumii","Gobiidae",,"(Bleeker, 1853)","Australia","Animalia","brackish/marine","Alien","No","Yes","2017","Pagad S., Hayes K, Katsanevakis S., Costello M. J. (2015). World Register of Introduced Marine Species (WRIMS). 
NIMPIS (National Introduced Marine Pest Information System). (2015). Online publication NIMPIS (National Introduced Marine Pest Information System).."
"Acer negundo","https://id.biodiversity.org.au/node/apni/2901529","Acer negundo","Sapindaceae",,"L.","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Australian Weeds Committee (2012). Noxious weeds list for Australian States and Territories. 
Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Acer palmatum","https://id.biodiversity.org.au/node/apni/2909487","Acer palmatum","Sapindaceae",,"Thunb.","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Acer platanoides","NZOR-6-67239","Acer platanoides","Sapindaceae",,"L.","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Acer pseudoplatanus","https://id.biodiversity.org.au/node/apni/2887660","Acer pseudoplatanus","Sapindaceae",,"L.","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Acetosa sagittata","https://id.biodiversity.org.au/taxon/apni/51291710","Rumex sagittatus","Polygonaceae",,"L.A.S.Johnson & B.G.Briggs (Thunb.)","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Australian Weeds Committee (2012). Noxious weeds list for Australian States and Territories. 
Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Acetosa vesicaria","https://id.biodiversity.org.au/taxon/apni/51291722","Rumex vesicarius","Polygonaceae",,"Á.Löve (L.)","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Achillea distans","https://id.biodiversity.org.au/node/apni/2904116","Achillea distans","Asteraceae",,"Waldst. & Kit. ex Willd.","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Achillea millefolium","https://id.biodiversity.org.au/node/apni/2899291","Achillea millefolium","Asteraceae",,"L.","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Achillea ptarmica","NZOR-6-66177","Achillea ptarmica","Asteraceae",,"L.","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Achyranthes aspera","https://id.biodiversity.org.au/taxon/apni/51266460","Achyranthes aspera","Amaranthaceae",,"L.","Australia","Plantae","terrestrial","Native/Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Acokanthera oblongifolia","https://id.biodiversity.org.au/node/apni/4335923","Acokanthera oblongifolia","Apocynaceae",,"Codd (Hochst.)","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Acridotheres tristis","urn:lsid:biodiversity.org.au:afd.taxon:cecded9e-f904-4f57-8711-43947ae9c5a5","Acridotheres tristis","Sturnidae",,"Linnaeus, 1766","Australia","Animalia","terrestrial","Alien","Yes","Yes","2018","Department of the Environment, Australia (2015). Feral animals on offshore islands database."
